user_id,age_group,subscription_status,engagement_time
14451,18-34,subscribed,5.55
18386,under 18,subscribed,5.12
12305,35 and over,not_subscribed,4.25
17546,18-34,subscribed,8.54
15399,18-34,subscribed,12.12
13167,18-34,subscribed,9.92
11435,35 and over,subscribed,2.07
16158,under 18,subscribed,7.02
16311,18-34,not_subscribed,7.58
10245,35 and over,not_subscribed,2.37
11648,35 and over,not_subscribed,7.00
19509,18-34,subscribed,7.32
17482,35 and over,not_subscribed,7.00
18302,18-34,subscribed,7.44
15637,35 and over,not_subscribed,4.79
10628,18-34,subscribed,10.27
11951,under 18,subscribed,6.01
16784,18-34,not_subscribed,5.06
12184,under 18,subscribed,6.27
12658,under 18,not_subscribed,5.83
10208,35 and over,not_subscribed,7.00
17039,under 18,not_subscribed,4.05
13892,35 and over,not_subscribed,7.00
14436,35 and over,not_subscribed,3.00
16026,18-34,subscribed,11.06
12428,35 and over,not_subscribed,2.26
14807,under 18,not_subscribed,3.83
19854,18-34,subscribed,5.72
11841,35 and over,not_subscribed,3.54
13839,35 and over,not_subscribed,5.00
19577,18-34,subscribed,9.71
12833,18-34,not_subscribed,9.41
14597,35 and over,not_subscribed,2.33
19578,35 and over,not_subscribed,7.00
16641,35 and over,subscribed,4.75
11980,under 18,not_subscribed,6.01
14625,18-34,not_subscribed,6.92
12857,under 18,subscribed,5.52
12831,35 and over,not_subscribed,2.93
17651,18-34,subscribed,8.43
10767,under 18,subscribed,5.04
15831,under 18,subscribed,6.38
15725,under 18,not_subscribed,6.12
19488,35 and over,not_subscribed,3.18
14727,35 and over,not_subscribed,2.04
16428,under 18,not_subscribed,7.74
13092,18-34,subscribed,10.30
14296,under 18,subscribed,6.87
16395,35 and over,not_subscribed,2.42
13154,18-34,subscribed,10.38
15896,under 18,subscribed,5.88
12566,35 and over,not_subscribed,4.41
19769,35 and over,not_subscribed,3.54
13411,under 18,not_subscribed,3.34
12390,under 18,subscribed,6.84
16881,18-34,subscribed,7.64
16036,35 and over,subscribed,4.92
12952,35 and over,not_subscribed,3.37
16128,18-34,subscribed,9.31
17040,under 18,subscribed,6.12
16326,35 and over,not_subscribed,2.59
17594,under 18,not_subscribed,5.24
19915,under 18,subscribed,6.90
14765,35 and over,subscribed,1.96
11732,18-34,subscribed,7.40
13480,18-34,subscribed,11.15
11080,35 and over,not_subscribed,7.00
15539,35 and over,subscribed,5.80
12293,35 and over,subscribed,7.74
18850,35 and over,not_subscribed,6.00
10866,35 and over,not_subscribed,2.21
16373,under 18,subscribed,5.79
19791,35 and over,subscribed,5.76
18539,18-34,not_subscribed,3.55
12125,35 and over,subscribed,5.42
16020,18-34,subscribed,4.57
11484,35 and over,not_subscribed,2.79
12236,35 and over,subscribed,6.28
15098,35 and over,not_subscribed,2.46
18570,under 18,subscribed,5.85
13173,18-34,subscribed,10.58
18909,35 and over,subscribed,4.20
10597,under 18,subscribed,6.35
12211,under 18,subscribed,5.81
10350,35 and over,not_subscribed,2.57
12745,35 and over,not_subscribed,2.20
13541,18-34,subscribed,10.08
12442,18-34,subscribed,10.21
15645,35 and over,subscribed,7.38
10458,35 and over,not_subscribed,4.27
17540,18-34,not_subscribed,9.29
13054,under 18,not_subscribed,3.99
19212,18-34,subscribed,12.60
15882,35 and over,not_subscribed,3.73
12948,under 18,subscribed,6.27
18784,18-34,subscribed,9.68
16306,18-34,not_subscribed,7.06
15375,18-34,subscribed,8.50
16685,18-34,subscribed,8.38
10701,18-34,subscribed,9.33
12869,under 18,not_subscribed,3.75
16787,35 and over,not_subscribed,2.69
11942,18-34,not_subscribed,8.48
19129,35 and over,subscribed,9.71
15634,18-34,subscribed,9.06
15463,35 and over,not_subscribed,3.98
19948,35 and over,not_subscribed,3.70
19148,under 18,not_subscribed,6.85
17993,18-34,subscribed,9.12
13075,18-34,subscribed,7.43
13881,35 and over,not_subscribed,2.70
10625,18-34,subscribed,11.62
16680,35 and over,not_subscribed,4.96
18965,35 and over,subscribed,7.20
17175,18-34,subscribed,9.83
18069,18-34,subscribed,7.22
17158,35 and over,not_subscribed,4.20
19109,under 18,not_subscribed,6.54
14559,18-34,subscribed,12.26
15606,18-34,subscribed,9.62
17550,18-34,not_subscribed,9.27
14824,18-34,subscribed,9.64
14409,18-34,not_subscribed,2.46
18933,35 and over,not_subscribed,4.60
11923,18-34,subscribed,7.71
11886,35 and over,not_subscribed,3.93
15232,under 18,subscribed,5.33
19131,under 18,not_subscribed,2.88
13796,18-34,not_subscribed,5.70
10875,18-34,subscribed,7.91
17443,35 and over,subscribed,3.87
12950,35 and over,subscribed,6.53
19826,under 18,not_subscribed,5.66
11245,18-34,subscribed,8.82
13998,18-34,subscribed,8.62
10361,35 and over,subscribed,6.44
11856,18-34,subscribed,8.89
14862,18-34,not_subscribed,7.50
19889,18-34,subscribed,9.52
12945,35 and over,not_subscribed,2.80
12673,35 and over,not_subscribed,5.00
19574,18-34,subscribed,9.57
11014,35 and over,not_subscribed,3.64
16074,35 and over,not_subscribed,6.00
17181,18-34,subscribed,8.57
19761,35 and over,not_subscribed,2.88
17558,18-34,subscribed,14.91
13706,35 and over,not_subscribed,2.99
16028,18-34,not_subscribed,8.90
18730,35 and over,not_subscribed,2.43
15588,35 and over,subscribed,7.55
17116,under 18,not_subscribed,11.31
13162,under 18,subscribed,5.70
17348,35 and over,subscribed,4.63
13377,35 and over,not_subscribed,3.30
17894,18-34,subscribed,10.91
12255,35 and over,not_subscribed,5.00
14359,35 and over,subscribed,6.56
15618,18-34,subscribed,10.45
11156,under 18,not_subscribed,3.39
19522,under 18,not_subscribed,8.54
16445,35 and over,subscribed,8.92
19622,35 and over,subscribed,8.79
17074,under 18,not_subscribed,6.98
12023,18-34,not_subscribed,5.22
10311,35 and over,not_subscribed,2.78
12424,18-34,not_subscribed,4.67
17519,18-34,not_subscribed,8.49
11270,35 and over,not_subscribed,3.57
14798,35 and over,not_subscribed,2.92
16708,35 and over,not_subscribed,4.96
19945,under 18,subscribed,6.94
11631,18-34,not_subscribed,8.12
18347,under 18,subscribed,5.85
16453,18-34,not_subscribed,4.87
12443,18-34,not_subscribed,3.37
11879,18-34,subscribed,12.53
10312,18-34,not_subscribed,16.98
12330,18-34,subscribed,9.19
16061,under 18,not_subscribed,2.88
10823,18-34,subscribed,7.20
11866,under 18,subscribed,7.45
15586,35 and over,not_subscribed,5.00
16800,under 18,not_subscribed,4.35
15644,35 and over,subscribed,6.38
11069,under 18,subscribed,5.42
16012,35 and over,not_subscribed,4.24
10123,18-34,not_subscribed,4.75
16576,18-34,not_subscribed,4.08
10542,18-34,subscribed,6.07
11065,35 and over,not_subscribed,2.30
15962,18-34,subscribed,10.53
12411,under 18,subscribed,7.95
13613,35 and over,not_subscribed,3.65
12583,18-34,subscribed,12.04
12663,35 and over,not_subscribed,2.50
18470,35 and over,not_subscribed,3.35
18908,35 and over,not_subscribed,2.82
16375,under 18,not_subscribed,6.58
14286,35 and over,not_subscribed,2.32
14207,35 and over,subscribed,6.92
18058,35 and over,not_subscribed,6.00
10656,18-34,not_subscribed,8.29
17197,under 18,not_subscribed,4.42
10060,18-34,subscribed,9.36
15172,under 18,not_subscribed,3.94
18481,18-34,subscribed,8.10
10089,35 and over,not_subscribed,2.55
18741,18-34,subscribed,10.05
11840,35 and over,not_subscribed,4.40
14747,18-34,not_subscribed,5.31
10925,35 and over,subscribed,2.27
18379,35 and over,subscribed,4.62
11608,18-34,subscribed,6.91
12380,under 18,subscribed,7.72
11033,under 18,subscribed,6.71
15327,35 and over,subscribed,5.66
15394,under 18,not_subscribed,4.71
15817,35 and over,not_subscribed,4.08
17793,under 18,subscribed,7.00
11809,35 and over,subscribed,6.54
18149,18-34,subscribed,8.26
18487,35 and over,not_subscribed,2.73
18275,18-34,subscribed,9.48
11907,18-34,subscribed,9.07
10268,35 and over,subscribed,5.66
17150,18-34,not_subscribed,7.13
10148,35 and over,not_subscribed,3.51
14062,under 18,subscribed,6.31
12298,18-34,subscribed,12.35
16928,18-34,subscribed,11.55
12692,35 and over,subscribed,4.05
10000,18-34,subscribed,7.18
19727,35 and over,not_subscribed,2.61
12821,under 18,not_subscribed,3.92
15651,under 18,not_subscribed,5.82
16088,18-34,subscribed,10.31
