diet,preweight,weight6weeks,age
B,60,60.0,45
B,103,103.0,38
A,58,54.2,31
A,60,54.0,18
A,64,63.3,35
A,64,61.1,37
A,65,62.2,29
A,66,64.0,32
A,67,65.0,31
A,69,60.5,24
A,70,68.1,18
A,70,66.9,35
A,72,70.5,34
A,72,69.0,18
A,72,68.4,24
A,82,81.1,31
B,58,60.1,18
B,58,56.0,45
B,59,57.3,35
B,61,56.7,33
B,62,55.0,50
B,63,62.4,26
B,63,60.3,34
B,63,59.4,47
B,65,62.0,38
B,66,64.0,39
B,68,63.8,30
B,68,63.3,39
B,76,72.7,37
B,77,77.5,39
C,60,53.0,36
C,62,56.4,33
C,64,60.6,27
C,65,58.2,47
C,66,58.2,22
C,67,61.6,43
C,67,60.2,30
C,69,61.8,40
C,70,63.0,18
C,70,62.7,23
C,72,71.1,43
C,72,64.4,30
C,73,68.9,38
C,75,68.7,37
C,76,71.0,32
A,71,71.6,39
A,72,70.9,39
A,74,69.5,51
A,78,73.9,54
A,80,71.0,45
A,80,77.6,37
A,83,79.1,34
A,85,81.5,29
A,87,81.9,33
A,88,84.5,27
B,71,66.8,45
B,75,72.6,32
B,75,69.2,25
B,76,72.5,28
B,78,72.7,25
B,78,76.3,45
B,79,73.6,26
B,79,72.9,20
B,79,71.1,30
B,80,81.4,35
B,80,75.7,28
C,71,68.5,34
C,73,72.1,24
C,76,72.5,24
C,78,77.5,33
C,78,75.2,45
C,78,69.4,44
C,79,74.5,43
C,83,80.2,32
C,84,79.9,40
C,85,79.7,31
C,87,77.8,42
C,88,81.9,46
